Cairo,Heliopolis,Pharmacy,Cairo Specialized Hospital Pharmacy,,Abu Obeida Street - Roxy 4,02 24509800,
Cairo,Maadi,Pharmacy,Al-Nakheel Hospital Pharmacy,,Al-Laselky Street - inside Al-Nakheel Hospital - New Maadi,16781,
Cairo,Maadi,Pharmacy,Nile Badrawi Hospital Pharmacy,,Nile Corniche - Maadi,02 25240022,
Cairo,Maadi,Pharmacy,Andalusia Maadi Hospital Pharmacy (Al-Nakheel),,Al-Laselky Division - New Maadi - Maadi,16781,
Cairo,Nasr City,Pharmacy,Dar Al-Fouad Hospital Pharmacy (Nasr City),,Intersection of Nasr Road with Youssef Abbas Street - Nasr City,16370,
Cairo,Fifth Settlement,Pharmacy,Shefa Specialized Hospital Pharmacy,,North Ninety Street Sector 166 164,15051,
Cairo,Nasr City,Pharmacy,Viva Al-Akkad Hospital Pharmacy,,Mohamed Mostafa Hammam Street off Abbas Al-Akkad Street 12 - Nasr City,15485,
Cairo,Heliopolis,Pharmacy,Cleopatra Hospital Pharmacy,,Cleopatra Street - Salah El-Din Square 39,02 24143931,
Cairo,Maadi,Pharmacy,Haitham & Salah Pharmacy,,Maadi Grand Mall Shop 257 - Ground Floor,010 93338771,02 25204421
Cairo,Amireya,Pharmacy,New Pharmacy,,49.50.51 Amireya Residences - Salam Shops - Amireya,16803,
Cairo,Maadi,Pharmacy,New Pharmacy,,Cairo-Helwan Street - Maadi 145,16803,
Cairo,Helmeyat Zeitoun,Pharmacy,New Pharmacy,,343 Tera't El-Gabal Street - Helmeyat Zeitoun,16803,
Cairo,Helmeyat Zeitoun,Pharmacy,New Pharmacy,,301 Tera't El-Gabal Street - Helmeyat Zeitoun,16803,
Cairo,Dar El-Salam,Pharmacy,New Pharmacy,,145 Cairo-Helwan Agricultural Road - Maadi,16803,
Cairo,Rod El-Farag,Pharmacy,New Pharmacy,,121 Abu Al-Farag Street - corner of Ali Mahmoud Taha Street - Rod El-Farag,16803,
Cairo,Shubra,Pharmacy,New Pharmacy,,177 Shubra Street,16803,
Cairo,Ain Shams,Pharmacy,New Pharmacy,,Arab Al-Tawila Street - Ain Shams 44,16803,
Cairo,Heliopolis,Pharmacy,New Pharmacy,,20 Obour Buildings - Salah Salem,16803,
Cairo,Heliopolis,Pharmacy,New Pharmacy,,B Obour Buildings - Salah Salem 20 - Heliopolis,16803,
Cairo,Fifth Settlement,Physiotherapy,German Healthcare Company,,Platinum Club,01001812181,
Cairo,Shubra,Physiotherapy,Specialized Center for Physiotherapy and Weight Loss - Dr. Sarhan Fahmy,,Shubra Street - Al-Saad Tower - Floor 53 Fourth - Apartment 402,0225769408,
Cairo,Heliopolis,Physiotherapy,International Physiotherapy and Pain Management Center,,Osman Towers - Tower A - Roxy - Heliopolis,012 01111211,02 24537001-2-3-4-5
Cairo,Downtown,Physiotherapy,Medical Physiotherapy Center - Dr. Ali Hassan Tawfik,,3 Rushdy Street - Bab El-Louk,02 23939440,
Cairo,Hadayek El-Qobba,Physiotherapy,Dr. Kamel Hussein Kamel,,Masr Wal Sudan Street - Deir Al-Malak 61 - Hadayek El-Qobba,01222220384,02 24820352
Cairo,Maadi,Physiotherapy,Dr. Tarek Afify,,Palestine Street - next to Bandar Mall 1/1 - New Maadi,21047565-01013588,02 25175195
Cairo,Fifth Settlement,Physiotherapy,Physio Care Physiotherapy,,Medical Park Premier - behind Air Force Hospital - Ninety Street,01024443117,01024443118
Cairo,Maadi,Physiotherapy,Physio Care Physiotherapy,,Street 250 - Maadi Sarayat 80,01024443118,
Cairo,Fifth Settlement,Physiotherapy,Abu Zahra Physiotherapy Center,,Medical Park Premier (2) - behind Air Force Hospital - Ninety Street,44004080-01006020,02 28123567
Cairo,Manyal,Physiotherapy,Al-Borg Physiotherapy Center,,Beginning of Mohamed Farid Street in front of Al-Nada Hospital - Manyal,010 05504412,02 23635509
Cairo,Nasr City,Physiotherapy,Al-Borg Physiotherapy Center,,15 Al-Nasr Street - Nasr Buildings - Rabaa Al-Adaweya Square in front of Rabaa Mosque - Nasr City,010 33356840,02 226717160
Cairo,Mokattam,Physiotherapy,Golf Physiotherapy Center,,Street 9 Clinic Complex in front of Al-Quds Mosque - Al-Quds Street next to Mobil Gas Station,012 22290123,02 28462600
Cairo,Nasr City,Physiotherapy,Golf Physiotherapy Center,,2 Lieutenant General Mohamed Ibrahim Street off Mohamed Hassanein Heikal - Nasr City,012 02525252,02 22718800
Cairo,Heliopolis,Physiotherapy,Golf Physiotherapy Center,,Martyr Galal Haggag Street off Ahmed Tayseer Street - Golf Land - Heliopolis,01272666111,02 22903777
Cairo,Heliopolis,Physiotherapy,Al-Hayat Sheraton Physiotherapy and Rehabilitation Center,,Sayed Zakaria Street - Sheraton Airport Residences 98 - Cairo,01226060360,02 22679540
Cairo,Hadayek El-Qobba,Physiotherapy,Al-Zayed Physiotherapy Center - Dr. Zayed Abdel Rahim Mohamed,,Wadi El-Nil Street - in front of Wadi El-Nil Hospital 89 - Health Insurance Station,02 22580238/9,
Cairo,Downtown,Physiotherapy,Al-Zayed Physiotherapy Center - Dr. Zayed Abdel Rahim Mohamed,,Adly Street - EgyptAir Buildings 6 - Opera Square,02 23957797,
Cairo,Shubra,Physiotherapy,Al-Shorouk Physiotherapy Center - Dr. Maged Abdel Maksoud,,Denshway Street - in front of Sahel Teaching Hospital 5 - next to Awlad Ragab,02 22007005,
Cairo,Fifth Settlement,Physiotherapy,Fakeour Physiotherapy Center,,Tabib Center 3 - Tabib Street off Akhnaton Street - behind On The Run - near Saudi Market,15662,
Cairo,Rehab City,Physiotherapy,Fakeour Physiotherapy Center,,Gate 6 - Second Medical Center - next to Banks Complex - Clinic 205 - Rehab,15662,
Cairo,Mokattam,Physiotherapy,Fakeour Physiotherapy Center,,Street 9 Mokattam - next to Dar Al-Om Hospital 33 - in front of Etisalat Branch - Mokattam,15662,
Cairo,Hadayek El-Qobba,Physiotherapy,Fakeour Physiotherapy Center,,Masr Wal Sudan Street - above Bank 93 Misr - next to Demerdash Metro Station and Sheikh Kishk Mosque - Hadayek El-Qobba,15662,
Cairo,Ramsis,Physiotherapy,Fakeour Physiotherapy Center,,Ramsis Street intersection with Emad El-Din 38 next to Hilal Hospital (Commercial Registry Building),15662,
Cairo,Nasr City,Physiotherapy,Fakeour Physiotherapy Center,,Attia Al-Sawalehy Street 14 - off Makram Ebeid - in front of Saraya Mall - Nasr City,15662,
Cairo,Heliopolis,Physiotherapy,Fakeour Physiotherapy Center,,Martyr Ahmed Wasfy Street off Omar Ibn Al-Khattab Street - next to Gawhar Hospital and Tivoli Supermarket - Maza,15662,
Cairo,Downtown,Physiotherapy,Fakeour Physiotherapy Center,,Tahrir Street - Strand Building 183 - Bab El-Louk,15662,
Cairo,Nasr City,Physiotherapy,Al-Fahd Physiotherapy Center - Dr. Enas Al-Habak,,Nagaty Serag Street - Building 5220 - Eighth Zone - Nasr City,011 45440448,01140830302
Cairo,Heliopolis,Physiotherapy,Al-Fayrouz Dental Surgery and Physiotherapy Center,,Mohamed Refaat Historian Street - in front of Shabrawy - New Nozha,01288550221,02 26209765
Cairo,Maadi,Physiotherapy,Ama Physiotherapy Center,,Street 287 - off Algeria Street 10,02 25190600,
Cairo,Maadi,Physiotherapy,Dr. Ismail Al-Khashab Center,,Zahraa Maadi - Building 3 - Block 76 - Tenth Sector - in front of Carrefour,011112263344,02 29704464
Cairo,Downtown,Physiotherapy,Dr. Ismail Al-Khashab Center,,Al-Gomhoreya Street - intersection with Hassan Al-Akbar Street 5 - Abdeen,01004915596,02 23909509
Cairo,Nasr City,Physiotherapy,Physio First Physiotherapy Center,,65 Nabil El-Wakad - Golf Land - Nasr City,015 51864244,010 18800080
Cairo,Heliopolis,Physiotherapy,Physio First Physiotherapy Center,,Cairo Complex Mall - inside Gold's Gym - Ankara Street - Sheraton,015 51864244,010 18800080
Cairo,First Settlement,Physiotherapy,Kan Physiotherapy Center,,Mostafa Kamel Axis - above Tabarak Children's Hospital - next to Qabbani,01013988996,
Cairo,Fifth Settlement,Physiotherapy,Kan Physiotherapy Center,,Ninety Street - Core Business Mall - First District - in front of Emirates Misr Gas Station,011 11202033,
Cairo,Maadi,Physiotherapy,Kan Physiotherapy Center,,Pitcho Buildings - Building 6 - Second Phase - in front of Maadi Traffic,01110960988,
Cairo,Nasr City,Physiotherapy,Life Sport Physiotherapy Center,,3 Abdel Moneim Al-Husseini Street - off Youssef Abbas Street - Stadium Station,01006002009,
Cairo,Maadi,MetLife Clinic at Al-Salam Maadi Hospital,,Inside Al-Salam International Hospital - Nile Corniche - Maadi,19885,02 25240250,
Cairo,Heliopolis,MetLife Clinic at Cairo Specialized Hospital,,Inside Cairo Specialized Hospital - 4 Abu Obeida Al-Bakry Street - Roxy,02 22580672,02 24509800,
Cairo,Maadi,MetLife Clinic at Nile Badrawi Hospital,,Nile Corniche - Maadi,02 25240022,,
Cairo,Nasr City,MetLife Clinic at Dar Al-Fouad Hospital,,Intersection of Nasr Road with Youssef Abbas Street,16370,,
Cairo,Nasr City,Radiology Centers,Top Scan Lab,,Al-Nozha Street 16,02 24192418,
Cairo,Maadi,Radiology Centers,Al-Borg Scan,,30 Algeria Street - Algeria Square,19911,
Cairo,Shubra,Radiology Centers,Al-Borg Scan,,59 Shubra Masr Street - in front of Dolly Cinema,19911,
Cairo,Nasr City,Radiology Centers,Al-Borg Scan,,22 Abdel Razek Al-Sanhoury - Nasr City,19911,
Cairo,Heliopolis,Radiology Centers,Al-Borg Scan,,Al-Merghany Street - Heliopolis 67,19911,
Cairo,Rehab City,Radiology Centers,Rehab Scan,,Second Medical Center - Clinic 205,01061481389,
Cairo,Rehab City,Radiology Centers,Rehab Scan,,First Medical Center - Clinic 114,01014040112,02 26077244
Cairo,Helwan,Radiology Centers,International Radiology and MRI Center,,Intersection of Mansour Street with Al-Maraghy 44 next to Helwan Metro Station,17631657-011211861,02 28180144-145
Cairo,Fifth Settlement,Radiology Centers,Alpha Scan,,Ninety Street - inside Concord Plaza Mall - Second Floor,16171,
Cairo,Maadi,Radiology Centers,Alpha Scan,,Maadi - Beginning of Corniche Road - Salam Tower next to Al-Salam International Hospital,16171,
Cairo,Maadi,Radiology Centers,Alpha Scan,,Fontana Square - Maadi,16171,
Cairo,Heliopolis,Radiology Centers,Alpha Scan,,Al-Merghany Street 73,16171,
Cairo,Helwan,Radiology Centers,Optima Radiology,,22015005-0102201502,7092225-022709222 Abdel Rahman Street next to District - Helwan,
Cairo,Maadi,Radiology Centers,Techno Scan,,Street 150 - Freedom Square 52,19989,
Cairo,Shubra,Radiology Centers,Techno Scan,,Shubra Street - next to Khallafawy Metro Station 230,19989,
Cairo,Heliopolis,Radiology Centers,Techno Scan,,Rashid Street off Osman Ibn Affan 8 - Salah El-Din Square,19989,
Cairo,Fifth Settlement,Radiology Centers,Techno Scan (Women's Health),,Medical Park 2 in front of New Cairo Courts Complex,19989,
Cairo,Maadi,Radiology Centers,Techno Scan (Women's Health),,Street 100 - Freedom Square 2 34,19989,
Cairo,Mokattam,Radiology Centers,Arab Scan,,Street 9 - in front of Spinneys 9,02 25043300,
Cairo,Shubra,Radiology Centers,Al-Ahram Radiology Centers,,Shubra Street - above Audi Bank 128 next to Shubra Central Exchange,01001614917,02 21292000
Cairo,Mokattam,Radiology Centers,Al-Tahera Radiology and Lab Center,,Street 9 Clinic Complex in front of Al-Quds Mosque,19173,
Cairo,Heliopolis,Radiology Centers,Al-Tahera Radiology and Lab Center,,Al-Maqrizy Street - Al-Khalifa Al-Maamoun 87 - Roxy Square,19173,
Cairo,Downtown,Radiology Centers,Al-Tahera Radiology and Lab Center,,Port Said Street - Sayeda Zeinab 251,19656,
Cairo,Fifth Settlement,Radiology Centers,Nile Radiology and Lab Center,,Ninety Street - Downtown - Administrative Building S2B,19656,
Cairo,Sheikh Zayed,Radiology Centers,Nile Radiology and Lab Center,,Rofaida Medical Complex - Zayed 2000 Entrance,19656,
Cairo,Maadi,Radiology Centers,Nile Radiology and Lab Center,,1 Station Square - Maadi Palace Building - Street 9,19656,
Cairo,Shubra,Radiology Centers,Nile Radiology and Lab Center,,151 Shubra Street - next to Khazandar Mosque,19656,
Cairo,Nasr City,Radiology Centers,Nile Radiology and Lab Center,,45 Abdel Razek Al-Sanhoury Street off Makram Ebeid,19656,
Cairo,Heliopolis,Radiology Centers,Nile Radiology and Lab Center,,8 Ahmed Al-Rashidy Street off Nabil El-Wakad Street - Golf Land,19656,
Cairo,Downtown,Radiology Centers,Nile Radiology and Lab Center,,8 Hoda Shaarawi Street - Bab El-Louk,19656,
Cairo,Heliopolis,Radiology Centers,Gamma Radiology Center,,Sebaq Street off Al-Hegaz Street behind Al-Khulafa Al-Rashideen Mosque - Heliopolis,02 26180555,
Cairo,Fifth Settlement,Radiology Centers,Reaya Radiology and Lab Center,,Street 15 - First District - Building 76 - Fifth Settlement Service Zone,01007685275,011 16314650
Cairo,Helmeyat Zeitoun,Radiology Centers,Sama Scan Center,,81 Selim Al-Awal Street - Helmeyat Zeitoun Square,02264285-26428028,01007685275
Cairo,Helmeyat Zeitoun,Radiology Centers,City Scan Center,,45 Ibn Al-Hakam Square - Beit Al-Ezz Buildings in front of October 6 Club - Helmeyat Zeitoun,010 02235022,
Cairo,Nasr City,Radiology Centers,View Scan Center,,82 Aviation Street - next to Insurance Hospital - Nasr City,88288769-01200208,02 24025362
Cairo,Maadi,Radiology Centers,Capital Scan Center,,45 Al-Nasr Street - Algeria Square - Maadi,01066619000,02 25171115
Cairo,Heliopolis,Radiology Centers,Capital Scan Center,,Gesr El-Suez Street in front of Heliopolis Military Hospital 207,01066619000,02 25171115
Cairo,Fifth Settlement,Radiology Centers,Cairo Ray Center (Radiation Therapy),,Medical Park Premier - behind Air Force Hospital - Ninety Street,19540,
Cairo,Maadi,Radiology Centers,Cairo Scan Radiology and Lab Center,,Algeria Street above Awlad Ragab 43 - New Maadi,19144,
Cairo,Mokattam,Radiology Centers,Cairo Scan Radiology and Lab Center,,Street 9 Mokattam in front of Shell Gas Station 420,19144,
Cairo,Hadayek El-Qobba,Radiology Centers,Cairo Scan Radiology and Lab Center,,Masr Wal Sudan Street 123,19144,
Cairo,Helwan,Radiology Centers,Cairo Scan Radiology and Lab Center,,Mohamed Sayed Ahmed Street - Club Tower 41 in front of Moemen - Second Floor,19144,
Cairo,Shubra,Radiology Centers,Cairo Scan Radiology and Lab Center,,Shubra Street next to Tawfiqia School 66,19144,
Cairo,Shubra,Radiology Centers,Cairo Scan Radiology and Lab Center,,Shubra Street - Shubra 59,19144,
Cairo,Nasr City,Radiology Centers,Cairo Scan Radiology and Lab Center,,Dar Al-Fouad Medical Tower - intersection of Youssef Abbas Street with Nasr Street,19144,
Cairo,Nasr City,Radiology Centers,Cairo Scan Radiology and Lab Center,,Samir Abdel Raouf Street Extension 15 - Makram Ebeid,19144,
Cairo,Heliopolis,Radiology Centers,Cairo Scan Radiology and Lab Center,,A Farid Semika Street 7,19144,
Cairo,Heliopolis,Radiology Centers,Cairo Scan Radiology and Lab Center,,Osman Ibn Affan Street above QNB Bank 25,19144,
Cairo,Heliopolis,Radiology Centers,Cairo Scan Radiology and Lab Center,,Al-Qobba Street - Roxy Square 18,19144,
Cairo,Downtown,Radiology Centers,Cairo Scan Radiology and Lab Center,,Tahrir Square 15,19144,
Cairo,Rod El-Farag,Radiology Centers,Masarra Scan Center,,Masarra Street - Rod El-Farag - Cairo 9,01271702829,02 24620241-2
Cairo,Nasr City,Radiology Centers,Misr Radiology,,8 Mostafa El-Nahas Street - Nasr City,19774,
Cairo,Heliopolis,Radiology Centers,Misr Radiology,,8 Al-Khalifa Al-Maamoun Street - Heliopolis,19773,
Cairo,Fifth Settlement,Radiology Centers,Misr Radiology,,North Ninety Street,010 02232390,012 11114091
Cairo,Downtown,Radiology Centers,Mega Scan,,Tahrir Street - Falaki Square 180,012 28425070,
Cairo,Maadi,Optical Centers,Gahar Optics - M,,B Street 256 - behind Grand Gas Station 1,19186,
Cairo,Mokattam,Optical Centers,Gahar Optics - M,,Fountain Square 5,02 25195150,01002125364
Cairo,Fifth Settlement,Optical Centers,Baraka Fashion,,Point 90 Mall,01002125346,
Cairo,Fifth Settlement,Optical Centers,Baraka Fashion,,Cairo Festival City,01123989816,
Cairo,Fifth Settlement,Optical Centers,Baraka Fashion,,Seven Stars Mall,01126964446,
Cairo,Fifth Settlement,Optical Centers,Baraka Fashion,,Downtown Mall,02 25657485,
Cairo,Rehab City,Optical Centers,Baraka Fashion,,Rehab Mall 2,02 23146216,
Cairo,Zamalek,Optical Centers,Baraka Fashion,,26 July Street - Zamalek 159,02 26925640,
Cairo,Zamalek,Optical Centers,Baraka Fashion,,Gezira Sports Club,010 65547391,27370343-02 273515
Cairo,Maadi,Optical Centers,Baraka Fashion,,Maadi Grand Mall - First Floor,010 27091133,02 25196091
Cairo,Nile Corniche,Optical Centers,Baraka Fashion,,Four Seasons Hotel - Nile Plaza Hotel,010 65547395,02 27930080
Cairo,Nile Corniche,Optical Centers,Baraka Fashion,,Nile City Mall - Nile Towers,02 24619888,
Cairo,Nasr City,Optical Centers,Baraka Fashion,,City Stars Mall - Third Floor,02 24802022,
Cairo,Nasr City,Optical Centers,Baraka Fashion,,City Stars Mall - First Floor,02 23520783,
Cairo,Heliopolis,Optical Centers,Baraka Fashion,,Inside National Eye Hospital,01205919450,
Cairo,Heliopolis,Optical Centers,Baraka Fashion,,Abdel Hamid Badawy Street - in front of Shams Club Wall 19,02 21505231,
Cairo,Heliopolis,Optical Centers,Baraka Fashion,,Khaled Ibn Al-Walid Street - Sheraton Residences 10,02 22679193,
Cairo,Heliopolis,Optical Centers,Baraka Fashion,,Baghdad Street - Korba 10,02 24184679,
Cairo,Maadi,Optical Centers,Al-Adel Optics,,B District Presidency Street - Maadi 3,01001794565,02 25188215
Cairo,Fifth Settlement,Optical Centers,Jolly Optics,,Mirage Mall - 33-E,010 66603142,
Cairo,Fifth Settlement,Optical Centers,Jolly Optics,,159 North Ninety Street,010 66603127,
Cairo,New Maadi,Optical Centers,Jolly Optics,,7 Al-Laselky Street,010 66603117,
Cairo,Zahraa Maadi,Optical Centers,Jolly Optics,,262 Shubra Street - Al-Mazallat,010 66603126,
Cairo,Shubra,Optical Centers,Jolly Optics,,Makram Ebeid Street 98,010 66603134,
Cairo,Nasr City,Optical Centers,Jolly Optics,,Wonderland Center - New Abbas Al-Akkad Street,010 66603145,
Cairo,Nasr City,Optical Centers,Jolly Optics,,Hub 50,010 66603123,
Cairo,Nasr City,Optical Centers,Jolly Optics,,Shop 136 - City Stars Mall,010 66603149,
Cairo,Heliopolis,Optical Centers,Jolly Optics,,Al-Khalifa Al-Maamoun Street - Roxy 19,010 66603115,
Cairo,Heliopolis,Optical Centers,Jolly Optics,,Al-Merghany Street 129,010 66603116,
Cairo,Heliopolis,Optical Centers,Roaa Optics Center,,Al-Merghany Street - in front of Heliopolis Club 5 - Roxy,02 24506420,01111447584
Cairo,Fifth Settlement,Optical Centers,Magrabi Optics,,Ninety Street - Downtown - New Cairo,01022211658,
Cairo,Fifth Settlement,Optical Centers,Magrabi Optics,,Ninety Street - Cairo Festival City - New Cairo,02 26168089,
Cairo,Rehab City,Optical Centers,Magrabi Optics,,Suez Road - Rehab City - Rehab Mall 2 - Ground Floor #44,02 26931018,
Cairo,Sayeda Nafisa,Optical Centers,Magrabi Optics,,Sayeda Nafisa Square - Magrabi Hospital,0225312819,
Cairo,El Shorouk,Optical Centers,Magrabi Optics,,Sky Plaza Mall,02 35706829,
Cairo,Maadi,Optical Centers,Magrabi Optics,,Maadi City Center - Shop 35,02 25204495,
Cairo,Maadi,Optical Centers,Magrabi Optics,,Maadi Grand Mall - Shop 210/211,02 25195309,
Cairo,Maadi,Optical Centers,Magrabi Optics,,Street 9 - Maadi 85,02 27509752,
Cairo,Mokattam,Optical Centers,Magrabi Optics,,Street 9 - Mokattam 35,02 26670417,
Cairo,Nasr City,Optical Centers,Magrabi Optics,,Omar Ibn Al-Khattab Street - City Stars 222 (1) - Shop,02 24802106,
Cairo,Nasr City,Optical Centers,Magrabi Optics,,Batrawy Street - Genena Mall,02 24042951,
Cairo,Nasr City,Optical Centers,Magrabi Optics,,Abbas Al-Akkad Street 39,02 24013386,
Cairo,Heliopolis,Optical Centers,Magrabi Optics,,Sun City Mall - Sheraton Residences,01020045450,
Cairo,Heliopolis,Optical Centers,Magrabi Optics,,Al-Merghany Street 100,01011188818,
Cairo,Heliopolis,Optical Centers,Magrabi Optics,,Maza City Center - Unit 17-E1 - First Floor - Arab Meeting - Heliopolis,02 22681429,
Cairo,Heliopolis,Optical Centers,Magrabi Optics,,In front of Merryland - Roxy,02 24502792,
Cairo,Downtown,Optical Centers,Magrabi Optics,,Sherif Street 25,02 23934126,
Cairo,Madinaty,Optical Centers,Magrabi Optics,,Ground Unit at Open Air Mall - Unit 01-AD - Madinaty,010 24407770,011 19717515
Cairo,Maadi,Laboratories,Al-Boushi Radiology and Lab,,Ahmed Zaki Street - Maadi 235,19470,
Cairo,Manyal,Laboratories,Al-Boushi Radiology and Lab,,Manyal Street - in front of Vodafone 87 - Manyal,19470,
Cairo,Helwan,Laboratories,Al-Boushi Radiology and Lab,,Intersection of Sherif Street with Riad Street - Helwan,19470,
Cairo,Helwan,Laboratories,Al-Boushi Radiology and Lab,,Magda Cinema Tower - Helwan,19470,
Cairo,Amireya,Laboratories,Alpha Lab,,1 Awqaf Building - Sawah Square,16191,
Cairo,First Settlement,Laboratories,Alpha Lab,,New Cairo Clinic Mall,16191,
Cairo,Fifth Settlement,Laboratories,Alpha Lab,,City Plaza Mall next to Silver Star Mall above Qweed,16191,
Cairo,Fifth Settlement,Laboratories,Alpha Lab,,Concord Plaza Mall - Ninety Street,16191,
Cairo,Rehab City,Laboratories,Alpha Lab,,Corner Mall - in front of Gate (6) - Rehab City,16191,
Cairo,Rehab City,Laboratories,Alpha Lab,,First Medical Center,16191,
Cairo,Zeitoun,Laboratories,Alpha Lab,,Helmeyat Zeitoun 39 Ibn Al-Hakam Street,16191,
Cairo,Sayeda Zeinab,Laboratories,Alpha Lab,,Port Said Street - Sayeda Zeinab 208,16191,
Cairo,El Shorouk,Laboratories,Alpha Lab,,Neighborhood D (2) - Second District - next to El Shorouk City Authority,16191,
Cairo,Abbassia,Laboratories,Alpha Lab,,Abbassia Street 109,16191,
Cairo,Kasr El-Aini,Laboratories,Alpha Lab,,Kasr El-Aini Street 35,16191,
Cairo,Matareya,Laboratories,Alpha Lab,,Cables Street - Matareya Square 171,16191,
Cairo,Maadi,Laboratories,Alpha Lab,,Maadi - Nile Corniche - Moneeb Bridge Exit,16191,
Cairo,Maadi,Laboratories,Alpha Lab,,Maadi 28 Al-Nasr Street,16191,
Cairo,Maadi,Laboratories,Alpha Lab,,Freedom Square - Maadi 9,16191,
Cairo,Maadi,Laboratories,Alpha Lab,,Street 9 - Maadi 73,16191,
Cairo,Maadi,Laboratories,Alpha Lab,,Street No. 9 - Maadi 73,16191,
Cairo,Mokattam,Laboratories,Alpha Lab,,Street 9 next to Misr Insurance Club,16191,
Cairo,Manyal,Laboratories,Alpha Lab,,Manyal 87 Manyal Street,16191,
Cairo,Manyal,Laboratories,Alpha Lab,,Manyal 47 Manyal Street,16191,
Cairo,New Nozha,Laboratories,Alpha Lab,,Taha Hussein Street - New Nozha 15,16191,
Cairo,Gesr El-Suez,Laboratories,Alpha Lab,,2 B Al-Faroukia Buildings - Gesr El-Suez Street - above Shabrawy Restaurant,16191,
Cairo,Gesr El-Suez,Laboratories,Alpha Lab,,Gesr El-Suez Street - in front of Fifth Gate of Shams Club 181,16191,
Cairo,Gesr El-Suez,Laboratories,Alpha Lab,,Merryland Buildings - next to Raya Store 1,16191,
Cairo,Hadayek El-Qobba,Laboratories,Alpha Lab,,Hadayek El-Qobba 127 Masr Wal Sudan Street,16191,
Cairo,Helmeyat Zeitoun,Laboratories,Alpha Lab,,Ibn Al-Hakam Street 39,16191,
Cairo,Helmeyat Zeitoun,Laboratories,Alpha Lab,,Ibn Al-Hakam Street - Helmia Square 10 above Bank Misr,16191,
Cairo,Helwan,Laboratories,Alpha Lab,,Riad Street - corner of Sherif Street 55,16191,
Cairo,Dar El-Salam,Laboratories,Alpha Lab,,Intersection of Fayoum Street with Schools Street,16191,
Cairo,Ramsis,Laboratories,Alpha Lab,,Ramsis Street - in front of Demerdash Hospital 399 - Ramsis,16191,
Cairo,Zahraa Maadi,Laboratories,Alpha Lab,,Rehana Residence Project - Morshedy Tower - Zahraa Maadi,16191,
Cairo,Zahraa Maadi,Laboratories,Alpha Lab,,Main Carrefour Street - Upper Maarag - Zahraa Maadi,16191,
Cairo,Zahraa Maadi,Laboratories,Alpha Lab,,Neighborhood 2 - Maarag City 2020 - Nasr Buildings - Zahraa Maadi,16191,
Cairo,Shubra,Laboratories,Alpha Lab,,Shubra Street - near Khallafawy Metro Station 275 - Shubra,16191,
Cairo,Shubra,Laboratories,Alpha Lab,,1 Agha Khan Buildings,16191,
Cairo,Shubra,Laboratories,Alpha Lab,,Shubra Street 40,16191,
Cairo,Ain Shams,Laboratories,Alpha Lab,,Ain Shams Street 75,16191,
Cairo,Ghamra,Laboratories,Alpha Lab,,Gaafar Street - Ghamra Bridge Exit 2,16191,
Cairo,Badr City,Laboratories,Alpha Lab,,Freedom Road - First District 53,16191,
Cairo,Nasr City,Laboratories,Alpha Lab,,Nasr City 106 Abbas Al-Akkad Street,16191,
Cairo,Nasr City,Laboratories,Alpha Lab,,Mostafa El-Nahas Intersection,16191,
Cairo,Nasr City,Laboratories,Alpha Lab,,In front of Holiday Inn Hotel Gate - Seventh District - Aviation Street Extension 31 - Abdullah Al-Arabi Street - Nasr City,16191,
Cairo,Nasr City,Laboratories,Alpha Lab,,Hassan Al-Maamoun Street - Nasr City 86,16191,
Cairo,Nasr City,Laboratories,Alpha Lab,,B Nasr Road - next to Tiba Mall 77,16191,
Cairo,Nasr City,Laboratories,Alpha Lab,,Makram Ebeid Street - in front of Child Park 68,16191,
Cairo,Nasr City,Laboratories,Alpha Lab,,Mostafa El-Nahas Street - Nasr City 41,16191,
Cairo,Nasr City,Laboratories,Alpha Lab,,Safwa Towers - Al-Mithaq Street - Zahraa 4 - Nasr City,16191,
Cairo,Nasr City,Laboratories,Alpha Lab,,Ahmed Al-Zomor Street - Tenth District Square 2,16191,
Cairo,Madinaty,Laboratories,Alpha Lab,,Medical Center - next to City Authority - Sayed Zakaria Street - Sakr Quraish 90,16191,
Cairo,Heliopolis,Laboratories,Alpha Lab,,Sheraton Residences,16191,
Cairo,Heliopolis,Laboratories,Alpha Lab,,Saint Fatima Square 94 Abdel Aziz Fahmy Street,16191,
Cairo,Heliopolis,Laboratories,Alpha Lab,,Heliopolis 73 Al-Merghany Street - Girls College,16191,
Cairo,Heliopolis,Laboratories,Alpha Lab,,Roxy - Al-Athary Ibn Nafea Street,16191,
Cairo,Heliopolis,Laboratories,Alpha Lab,,Al-Hegaz Street - Amoun Tower 58,16191,
Cairo,Heliopolis,Laboratories,Alpha Lab,,Osman Ibn Affan Street - Salah El-Din Square 28 - Heliopolis,16191,
Cairo,Heliopolis,Laboratories,Alpha Lab,,Al-Hegaz Street - Amoun Tower - Heliopolis 58,16191,
Cairo,Downtown,Laboratories,Alpha Lab,,Downtown 2 Sherif Street - Liwa Building,16191,
Cairo,Downtown,Laboratories,Alpha Lab,,Tahrir 1 Talaat Harb Street,16191,
Cairo,Matareya,Laboratories,Egy Lab,,Matareya Street - Al-Hana Towers 94,16522,
Cairo,Maadi,Laboratories,Egy Lab,,Street 9 in front of Maadi Metro Station 87 - Tabei Building,16522,
